,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
theta[387],0.448,0.038,0.375,0.519,0.0,0.0,24326.0,23572.0,24411.0,15621.0,1.0
theta[388],0.483,0.033,0.421,0.544,0.0,0.0,25881.0,25490.0,25895.0,16290.0,1.0
theta[389],0.522,0.028,0.471,0.575,0.0,0.0,27757.0,27643.0,27762.0,16272.0,1.0
theta[390],0.564,0.026,0.517,0.613,0.0,0.0,28125.0,28064.0,28156.0,15062.0,1.0
theta[391],0.606,0.028,0.555,0.658,0.0,0.0,25738.0,25723.0,25776.0,15741.0,1.0
theta[392],0.643,0.032,0.582,0.702,0.0,0.0,23583.0,23583.0,23655.0,14308.0,1.0
theta[393],0.676,0.037,0.608,0.744,0.0,0.0,22207.0,22207.0,22383.0,13654.0,1.0
theta[394],0.706,0.041,0.632,0.782,0.0,0.0,21156.0,21156.0,21642.0,13169.0,1.0
theta[395],0.734,0.044,0.649,0.811,0.0,0.0,20143.0,20143.0,20805.0,13082.0,1.0
C_mean[0],41.768,1.437,38.995,44.365,0.009,0.006,25884.0,25715.0,25943.0,14361.0,1.0
C_mean[1],45.47,2.353,41.185,49.963,0.019,0.014,14790.0,14440.0,15081.0,12164.0,1.0
wp_mean[0],0.515,0.007,0.502,0.527,0.0,0.0,27478.0,27454.0,27495.0,15166.0,1.0
wp_mean[1],0.65,0.006,0.639,0.662,0.0,0.0,23798.0,23797.0,23792.0,15256.0,1.0
C_sd[0],25.673,2.105,21.848,29.643,0.014,0.01,22845.0,22034.0,23850.0,13912.0,1.0
C_sd[1],36.075,6.192,25.325,48.095,0.058,0.043,11372.0,10137.0,12149.0,6955.0,1.0
wp_sd[0],0.041,0.006,0.031,0.052,0.0,0.0,18124.0,18045.0,18126.0,15374.0,1.0
wp_sd[1],0.112,0.006,0.101,0.123,0.0,0.0,20921.0,20879.0,20934.0,15675.0,1.0
"vp[0,0]",0.036,0.005,0.027,0.045,0.0,0.0,24469.0,23157.0,25088.0,14420.0,1.0
"vp[0,1]",0.039,0.006,0.028,0.05,0.0,0.0,23962.0,22676.0,24604.0,14473.0,1.0
"vp[1,0]",0.017,0.002,0.013,0.022,0.0,0.0,25904.0,25137.0,25818.0,13939.0,1.0
